"","ntdid","name","city","state","zip","GEOID.msa","GEOID.tract","year","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery","geometry"
"167","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2012,79505730,5462489,344576,6888950,7704373,15.852784291419,1.1183668048106,0.0969033678453113,c(-122.6234603, 45.6405989)
"168","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2013,90499750,5605637,348202,6491301,7971100,16.0988075886985,1.22796647390099,0.0880786963499899,c(-122.6234603, 45.6405989)
"169","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2014,88836466,NA,NA,6365278,8088346,NA,1.27069799622263,0.0910475884981737,c(-122.6234603, 45.6405989)
"170","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2015,43966289,5571607,356631,6174506,7820987,15.6228903264158,1.26665793182483,0.177885993516533,c(-122.6234603, 45.6405989)
"171","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2006,22673924,3873992,260051,5866928,2422370,14.8970471176808,0.412885585096664,0.106835058633874,c(-123.0018941, 44.9464822)
"172","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2007,26460727,4503744,318330,5581691,2716127,14.1480350579587,0.486613644503073,0.102647482058977,c(-123.0018941, 44.9464822)
"173","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2008,33581999,5440920,389223,5500759,3143900,13.9789272473621,0.571539309393486,0.093618607992931,c(-123.0018941, 44.9464822)
"174","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2009,32229346,5662915,379622,5222334,3615709,14.917246629542,0.692354989167679,0.112186856041075,c(-123.0018941, 44.9464822)
"175","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2010,31858578,5728722,395951,4775726,2585767,14.4682599614599,0.541439563325032,0.0811639176111376,c(-123.0018941, 44.9464822)
"176","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2011,31675912,5961277,388970,4688739,2570752,15.3258014756922,0.548282171389792,0.0811579474017986,c(-123.0018941, 44.9464822)
"177","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2012,60781630,6884585,395246,3848517,2877103,17.4184811484493,0.747587447320617,0.0473350747586072,c(-123.0018941, 44.9464822)
"178","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2013,71079495,6604667,409066,3975034,2739142,16.1457246507898,0.689086432971391,0.0385363176820544,c(-123.0018941, 44.9464822)
"179","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2014,68847792,NA,NA,3927117,2977112,NA,0.758090986339343,0.0432419386811998,c(-123.0018941, 44.9464822)
"180","0025","Salem Area Mass Transit District","Salem","OR",97301,"41420","41047000701",2015,32229346,7973797,492778,4025941,3332021,16.1813169419089,0.827637811880502,0.103384691703021,c(-123.0018941, 44.9464822)
"181","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2006,2537170,40206,5736,211996,1881778,7.00941422594142,8.87647880148682,0.741683844598509,c(-122.4780243, 47.2019421)
"182","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2007,2792242,40899,5735,196094,2014782,7.13147340889276,10.2745723989515,0.721564248371022,c(-122.4780243, 47.2019421)
"183","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2008,4740516,39967,5744,192511,1886133,6.95804317548747,9.79753364742794,0.397875041451184,c(-122.4780243, 47.2019421)
"184","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2009,4004471,40305,5643,201419,2001360,7.1424774056353,9.93630193775165,0.499781369374382,c(-122.4780243, 47.2019421)
"185","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2010,4970443,40697,5579,195859,1168672,7.29467646531636,5.96690476312041,0.235124313869005,c(-122.4780243, 47.2019421)
"186","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2011,3422674,40115,5720,183861,1897368,7.01311188811189,10.3195783771436,0.554352532552034,c(-122.4780243, 47.2019421)
"187","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2012,8788590,41118,5756,183432,1939609,7.14350243224461,10.5739947228401,0.22069626640906,c(-122.4780243, 47.2019421)
"188","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2013,6200886,41313,5839,182838,2000989,7.07535536907005,10.9440542994345,0.322694047270019,c(-122.4780243, 47.2019421)
"189","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2014,8179784,NA,NA,191188,2154764,NA,11.2703935393435,0.263425537887064,c(-122.4780243, 47.2019421)
"190","0028","Pierce County Ferry Operations","Tacoma","WA",98409,"42660","53053062900",2015,4004471,35557,5841,187856,2233060,6.08748501968841,11.8870837237033,0.557641695994302,c(-122.4780243, 47.2019421)
"191","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2006,86390947,11971196,555190,9678043,16007984,21.5623408202597,1.65405175405813,0.185297008030251,c(-122.2334664, 47.9417388)
"192","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2007,96103525,14046607,671494,10875413,18822934,20.9184400754139,1.73077877594166,0.195861015503854,c(-122.2334664, 47.9417388)
"193","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2008,111639098,14846654,694621,11918776,21282449,21.3737476983852,1.78562370834052,0.190636160460558,c(-122.2334664, 47.9417388)
"194","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2009,113545992,15126943,701001,11372498,21617884,21.5790605148923,1.90089143124052,0.190388789768995,c(-122.2334664, 47.9417388)
"195","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2010,113581809,14867607,679773,10041136,24596567,21.8714291388449,2.44958010727073,0.216553752898935,c(-122.2334664, 47.9417388)
"196","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2011,111834544,13926717,693094,9655130,25141210,20.0935471956185,2.60392247437373,0.224807193741497,c(-122.2334664, 47.9417388)
"197","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2012,194513042,12508842,592609,9093588,25566159,21.1080864448566,2.81144901220508,0.131436734201093,c(-122.2334664, 47.9417388)
"198","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2013,183441143,12366129,587998,9096345,27834280,21.0309031663373,3.05994110821434,0.151734117792757,c(-122.2334664, 47.9417388)
"199","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2014,202444898,NA,NA,9810286,28566284,NA,2.9118706630979,0.141106465424483,c(-122.2334664, 47.9417388)
"200","0029","Snohomish County Public Transportation Benefit Area Corporation","Everett","WA",98203,"42660","53061041201",2015,113545992,12915763,640838,10038230,29628648,20.1544899022842,2.95158090619561,0.260939619955938,c(-122.2334664, 47.9417388)
"201","0033",NA,NA,NA,NA,NA,NA,2006,5865066,1769306,94890,211108,243329,18.6458636315734,1.15262803872899,0.0414878536746219,c(NA, NA)
"202","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2006,6469405,1287847,85582,1408714,929273,15.0481059101213,0.659660513063688,0.143641184931226,c(-122.7855028, 42.3376195)
"203","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2007,6162158,992707,68197,1000860,1143744,14.556461427922,1.1427612253462,0.185607704313976,c(-122.7855028, 42.3376195)
"204","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2008,7452229,965036,63623,1026110,1191378,15.1680367162818,1.16106265410141,0.159868678216947,c(-122.7855028, 42.3376195)
"205","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2009,7895370,963585,56445,1108230,1223561,17.0712197714589,1.10406774766971,0.154971964581774,c(-122.7855028, 42.3376195)
"206","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2010,8447093,990561,58692,1033242,1328177,16.8772745859742,1.28544619750262,0.157234802552784,c(-122.7855028, 42.3376195)
"207","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2011,8488619,1029550,70394,1116465,1355218,14.6255362672955,1.21384727689628,0.159651175297183,c(-122.7855028, 42.3376195)
"208","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2012,14341068,1120739,75892,1375318,1223717,14.7675512570495,0.889770220414479,0.0853295584401385,c(-122.7855028, 42.3376195)
"209","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2013,18234482,1257919,84783,1474350,1450332,14.8369248552186,0.983709431274799,0.0795378777417423,c(-122.7855028, 42.3376195)
"210","0034","Rogue Valley Transportation District","Medford","OR",97504,"32780","41029001302",2014,17129298,NA,NA,1456140,1263264,NA,0.867542956034447,0.0737487315592268,c(-122.7855028, 42.3376195)
