ntdid,year,mode,fares
0023,2007,MO,2735891
0023,2008,MO,2707888
0023,2009,MO,2950195
0023,2010,MO,3053436
0023,2011,MG,3307997
0023,2012,MG,4074219
0023,2013,MG,3991266
0023,2014,MG,4110232
0023,2015,MG,4334884
0024,2006,DR,241677
0024,2006,MB,4818489
0024,2007,DR,234627
0024,2007,MB,5345781
0024,2008,DR,266498
0024,2008,MB,6346589
0024,2009,DR,230340
0024,2009,MB,6670570
0024,2009,VP,37348
0024,2010,DR,336942
0024,2010,MB,6793511
0024,2010,VP,46697
0024,2011,DR,330428
0024,2011,MB,7295061
0024,2011,VP,67246
0024,2012,DR,340685
0024,2012,MB,7204993
0024,2012,VP,158695
0024,2013,CB,3473078
0024,2013,DR,378198
0024,2013,MB,3920025
0024,2013,VP,199799
0024,2014,CB,3517670
0024,2014,DR,400362
0024,2014,MB,3948890
0024,2014,VP,221424
0024,2015,CB,2938339
0024,2015,DR,399531
0024,2015,MB,4273160
0024,2015,VP,209957
0025,2006,DR,360920
0025,2006,MB,2044104
0025,2006,VP,17346
0025,2007,DR,372961
0025,2007,MB,2286289
0025,2007,VP,56877
0025,2008,DR,381634
0025,2008,MB,2762266
0025,2008,VP,0
0025,2009,DR,316694
0025,2009,MB,3231769
0025,2009,VP,67246
0025,2010,DR,389909
0025,2010,MB,2095166
0025,2010,VP,100692
0025,2011,DR,311598
0025,2011,MB,2156084
0025,2011,VP,103070
0025,2012,DR,248961
0025,2012,MB,2487342
0025,2012,VP,140800
0025,2013,DR,198154
0025,2013,MB,2358925
0025,2013,VP,182063
0025,2014,DR,175101
0025,2014,MB,2601415
0025,2014,VP,200596
0025,2015,DR,226675
0025,2015,MB,2623816
0025,2015,VP,481530
0028,2006,FB,1881778
0028,2007,FB,2014782
0028,2008,FB,1886133
0028,2009,FB,2001360
0028,2010,FB,1168672
0028,2011,FB,1897368
0028,2012,FB,1939609
0028,2013,FB,2000989
0028,2014,FB,2154764
0028,2015,FB,2233060
0029,2006,DR,243329
0029,2006,MB,14200106
0029,2006,VP,1564549
0029,2007,DR,235212
0029,2007,MB,16929567
0029,2007,VP,1658155
0029,2008,DR,274305
0029,2008,MB,18872065
0029,2008,VP,2136079
0029,2009,DR,229212
0029,2009,MB,18807352
0029,2009,VP,2581320
0029,2010,DR,280741
0029,2010,MB,21710727
0029,2010,VP,2605099
0029,2011,CB,12337305
0029,2011,DR,290959
0029,2011,MB,9562218
0029,2011,VP,2950728
0029,2012,CB,12988125
0029,2012,DR,279449
0029,2012,MB,9677372
0029,2012,VP,2621213
0029,2013,CB,17295389
0029,2013,DR,318984
0029,2013,MB,7467102
0029,2013,VP,2752805
0029,2014,CB,17921815
0029,2014,DR,321724
0029,2014,MB,7533895
0029,2014,VP,2788850
0029,2015,CB,18588835
0029,2015,DR,353714
0029,2015,MB,7753747
0029,2015,VP,2932352
0033,2006,DR,243329
0034,2006,DR,112639
0034,2006,MB,816634
0034,2007,DR,117108
0034,2007,MB,1026636
0034,2008,DR,110931
0034,2008,MB,1080447
0034,2009,DR,117420
0034,2009,MB,1106141
0034,2010,DR,111183
0034,2010,MB,1216994
0034,2011,DR,103746
0034,2011,MB,1251472
0034,2012,DR,174488
0034,2012,MB,1049229
0034,2013,DR,123970
0034,2013,MB,1326362
0034,2014,DR,133061
0034,2014,MB,1130203
0034,2015,DR,119981
0034,2015,MB,1256420
0035,2006,FB,32520094
0035,2007,FB,34283767
0035,2008,FB,35698924
0035,2009,FB,35208864
0035,2010,FB,36402916
0035,2011,FB,35587378
0035,2012,FB,36280648
0035,2013,FB,37615750
0035,2014,FB,38179089
0035,2015,FB,39554501
0040,2006,CR,5108179
0040,2006,LR,1930
0040,2006,MB,12941435
0040,2007,CR,6622730
0040,2007,LR,0
0040,2007,MB,15406024
0040,2008,CR,8196172
0040,2008,LR,0
0040,2008,MB,3641733
0040,2009,CR,7766691
0040,2009,DR,NA
0040,2009,LR,2371968
0040,2009,MB,18909561
0040,2010,CR,7134458
0040,2010,LR,NA
0040,2010,MB,20845809
0040,2011,CB,25741924
0040,2011,CR,8336093
0040,2011,LR,NA
0040,2012,CB,30651595
0040,2012,CR,9480587
0040,2012,LR,14013302
0040,2012,SR,0
0040,2013,CB,32614113
0040,2013,CR,9484285
0040,2013,LR,14845952
0040,2013,SR,NA
0040,2014,CB,33830474
0040,2014,CR,10457882
0040,2014,LR,15867923
0040,2014,SR,NA
0040,2015,CB,35318171
0040,2015,CR,11903668
0040,2015,LR,18203801
0040,2015,SR,NA
0041,2006,AR,1343905
0041,2007,AR,1481165
0041,2008,AR,1551649
0041,2009,AR,1394379
0041,2010,AR,1279438
0041,2011,AR,1445703
0041,2012,AR,14500525
0041,2013,AR,15470981
0041,2014,AR,16453864
0041,2015,AR,19932525
0042,2006,DR,11946
0042,2006,MB,22556
0042,2009,DR,57583
0042,2009,MB,24642
0042,2010,DR,33956
0042,2010,MB,48327
0042,2011,DR,52295
0042,2011,MB,21643
0042,2012,DR,52040
0042,2012,MB,18249
0042,2013,DR,55962
0042,2013,MB,19332
0042,2014,DR,NA
0042,2014,MB,NA
0042,2015,DR,NA
0042,2015,MB,NA
0043,2006,DR,55864
0043,2006,MB,324753
0043,2007,DR,50112
0043,2007,MB,434202
0043,2007,VP,17690
0043,2008,DR,144277
0043,2008,MB,423275
0043,2008,VP,6145
0043,2009,DR,58839
0043,2009,MB,598155
0043,2009,VP,1953
0043,2010,DR,52942
0043,2010,MB,643373
0043,2011,DR,72455
0043,2011,MB,719658
0043,2012,DR,61986
0043,2012,MB,731077
0043,2013,DR,44280
0043,2013,MB,668616
0043,2014,DR,37743
0043,2014,MB,651347
0043,2015,DR,33434
0043,2015,MB,624053
0044,2006,DR,5656
0044,2006,MB,116544
0044,2006,VP,168275
0044,2007,DR,9610
0044,2007,MB,219579
0044,2007,VP,208671
0044,2008,DR,10968
0044,2008,MB,296629
0044,2008,VP,257403
0044,2009,DR,13144
0044,2009,MB,343323
0044,2009,VP,349570
0044,2010,DR,13804
0044,2010,MB,376793
