"","GEOID.msa","name","category","change.total_expenses","change.revenue_miles","change.revenue_hours","change.upt","change.fares","change.average_speed","change.avg_fare"
"225",24020,"Glens Falls, NY","bus",108869,31305,672,62011,-201977,1.09107680824382,-0.646433966612044
"226",24020,"Glens Falls, NY","other",19375,1608,-237,-690,-4162,1.62946299434777,-1.28854489164087
"227",24220,"Grand Forks, ND-MN","bus",221068,39146,4481,91080,-138228,-1.04085822576552,-0.569722211179481
"228",24220,"Grand Forks, ND-MN","other",818137,-46289,6214,11212,161442,-8.5468054599048,2.94882004822094
"229",24300,"Grand Junction, CO","bus",71227,204823,9721,93921,272519,1.23889802019672,0.3033883849503
"230",24300,"Grand Junction, CO","other",51141,70590,5302,9510,15726,-0.409854441729356,-0.814027397792466
"231",24340,"Grand Rapids-Wyoming, MI","bus",6428033,1534928,144413,4149104,5024855,-0.866460382991118,0.270397883766305
"232",24340,"Grand Rapids-Wyoming, MI","other",9075457,1023608,40922,120892,730825,2.04401616383552,1.0036841009168
"233",24500,"Great Falls, MT","bus",134225,-4709,-199,1252,63023,-0.0663949801573462,0.142082885433398
"234",24500,"Great Falls, MT","other",428118,22028,324,1988,6725,1.49692919916671,0.0828143960048666
"235",24540,"Greeley, CO","bus",165757,73512,2777,140832,-241141,1.14734365545416,-0.531499959224067
"236",24540,"Greeley, CO","other",732647,-43959,-3666,-13209,-51258,-0.449103236846568,-1.50568398789766
"237",24580,"Green Bay, WI","bus",509000,-188891,-2127,-307262,63167,-1.98866569760691,0.153556949020523
"238",24580,"Green Bay, WI","other",1517765,-202517,-24263,-23366,-104617,3.44556521190044,-0.472579608618535
"239",24660,"Greensboro-High Point, NC","bus",10770338,803336,56379,1374762,2150171,0.440060341816375,0.298521631142306
"240",24660,"Greensboro-High Point, NC","other",11534588,1021272,29909,317846,595649,3.26899734724989,0.506902270838239
"241",24860,"Greenville-Anderson-Mauldin, SC","bus",-435754,394627,18022,180352,412379,1.73867734788008,0.279634384345338
"242",24860,"Greenville-Anderson-Mauldin, SC","other",-123070,20951,871,-24,8273,1.87946118603821,1.03778507412049
"243",25060,"Gulfport-Biloxi-Pascagoula, MS","bus",974680,225569,9947,299746,476119,1.6725615132456,0.511229052875317
"244",25060,"Gulfport-Biloxi-Pascagoula, MS","other",594763,1038611,26971,158630,3183,15.1778464286219,-3.07439735927468
"245",25180,"Hagerstown-Martinsburg, MD-WV","bus",118593,-5392,-8,121429,-255241,-0.19829599520263,-0.799624687892582
"246",25180,"Hagerstown-Martinsburg, MD-WV","other",253396,-291,-617,2508,-15418,1.8004566856752,-1.47104283942372
"247",25260,"Hanford-Corcoran, CA","bus",394209,55138,331,18831,183866,1.25696548796479,0.222129424748294
"248",25260,"Hanford-Corcoran, CA","other",2441094,-69858,-5287,-16876,-6315,-1.76035609324417,0.404452389149186
"249",25420,"Harrisburg-Carlisle, PA","bus",8945231,4073336,68011,1378661,36212870,15.6163638986242,8.46502470054516
"250",25420,"Harrisburg-Carlisle, PA","other",1381955,-16334,-7783,5877,-1579029,1.36890829043604,-8.11988405993536
"251",25500,"Harrisonburg, VA","bus",604990,187187,17263,1433460,704448,0.208939989545447,-0.122408048033749
"252",25500,"Harrisonburg, VA","other",674948,46577,5376,6108,70448,-0.246337409383951,2.11434288001899
"253",25540,"Hartford-West Hartford-East Hartford, CT","bus",221985,-76099,-2978,-4681,64090,-1.07150843467011,0.182659712714227
"254",25540,"Hartford-West Hartford-East Hartford, CT","other",1070815,-4522158,-106904,-783410,-2588388,-12.3167060805009,0.0407858347299728
"255",25860,"Hickory-Lenoir-Morganton, NC","bus",NA,NA,NA,NA,NA,NA,NA
"256",25860,"Hickory-Lenoir-Morganton, NC","other",NA,NA,NA,NA,NA,NA,NA
"257",26420,"Houston-The Woodlands-Sugar Land, TX","bus",55646485,-5374439,-108461,-29909073,-19039011,-1.41317969664085,-0.0392110430779219
"258",26420,"Houston-The Woodlands-Sugar Land, TX","other",53662508,6230148,435980,1090672,6187399,-2.39725055438382,1.16952980903336
"259",26420,"Houston-The Woodlands-Sugar Land, TX","rail",1720086,1532379,138440,3881311,1302634,-1.87321113857985,0.00644316412466284
"260",26580,"Huntington-Ashland, WV-KY-OH","bus",1013978,223089,4699,170221,353891,2.63444883986255,0.2868890635951
"261",26580,"Huntington-Ashland, WV-KY-OH","other",958896,119316,7823,2664,70952,0.142292927946007,1.42742066921596
"262",26620,"Huntsville, AL","bus",228559,-50885,3030,325315,172143,-2.74615152720527,0.0598714072887614
"263",26620,"Huntsville, AL","other",1276426,51871,-1938,-5895,90004,2.13988923559412,1.08956226678963
"264",26820,"Idaho Falls, ID","bus",148095,58399,-746,-14761,-22556,6.06208606822373,-0.473706317204301
"265",26820,"Idaho Falls, ID","other",928755,337816,24737,38571,-11946,-5.17722286942974,-0.804011307039978
"266",26900,"Indianapolis-Carmel-Anderson, IN","bus",13675908,1164638,83628,25091,2355270,0.0348774835646779,0.236384664709748
"267",26900,"Indianapolis-Carmel-Anderson, IN","other",7860223,-259386,-24324,-58853,370742,0.775427462867608,1.54356170220089
"268",26980,"Iowa City, IA","bus",1319737,156244,11691,1333362,2250597,0.171801780197384,0.283089386073904
"269",26980,"Iowa City, IA","other",1183412,-245086,-20458,-78933,109262,-4.1489468797168,19.1536493723219
"270",27060,"Ithaca, NY","bus",1336436,58783,1542,1180510,1047870,0.320538483460863,-0.0503051435948683
"271",27060,"Ithaca, NY","other",649684,140008,4546,952,31603,2.72342685725221,0.52386906568209
"272",27100,"Jackson, MI","bus",358168,13720,2358,-10124,134604,-0.703306268596416,0.253706307196331
"273",27100,"Jackson, MI","other",1005293,-461031,-23043,-78385,-118303,-3.22054293296093,-0.218755035172285
"274",27140,"Jackson, MS","bus",-277112,-196030,-6597,-159221,157159,-1.7235741231796,0.37778264182805
"275",27140,"Jackson, MS","other",1012568,20405,2462,3700,36506,-0.478429606574364,0.843208160958937
"276",27180,"Jackson, TN","bus",374227,13019,-2550,75624,179034,1.23314681732133,0.262896645152443
