"","GEOID.msa","name","year","mode","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"5667","38860","Portland-South Portland, ME",2008,"DR",2728869,686809,54886,146405,1643528,12.51337,11.2259,0.6022744
"5668","38860","Portland-South Portland, ME",2008,"FB",2063858,29334,6276,266817,447102,4.673996,1.675688,0.2166341
"5669","38860","Portland-South Portland, ME",2008,"MB",5825649,836408,69522,1501242,1418225,12.03084,0.9447011,0.243445
"5670","38860","Portland-South Portland, ME",2009,"CR",13139398,417487,11791,471398,6630944,35.40726,14.06655,0.5046612
"5671","38860","Portland-South Portland, ME",2009,"DR",2477225,671142,54082,148504,1611623,12.40971,10.85239,0.6505759
"5672","38860","Portland-South Portland, ME",2009,"FB",4888955,72380,15144,857158,2133329,4.779451,2.48884,0.4363568
"5673","38860","Portland-South Portland, ME",2009,"MB",6072227,836371,69872,1411842,1452551,11.97005,1.028834,0.2392122
"5674","38860","Portland-South Portland, ME",2010,"CR",13620643,417560,11790,474205,6665907,35.41645,14.05702,0.4893974
"5675","38860","Portland-South Portland, ME",2010,"DR",2597452,727762,56846,148855,1675933,12.80234,11.25883,0.6452219
"5676","38860","Portland-South Portland, ME",2010,"FB",4685568,73239,15178,847091,2176368,4.825339,2.569226,0.4644833
"5677","38860","Portland-South Portland, ME",2010,"MB",6164530,869438,72366,1440200,1523929,12.01445,1.058137,0.2472093
"5678","38860","Portland-South Portland, ME",2011,"CR",14550475,417560,11790,510015,7100404,35.41645,13.92195,0.4879843
"5679","38860","Portland-South Portland, ME",2011,"DR",2571408,692123,54372,135558,1510855,12.7294,11.14545,0.5875594
"5680","38860","Portland-South Portland, ME",2011,"FB",4564290,71845,15117,903780,2208790,4.752596,2.443947,0.4839285
"5681","38860","Portland-South Portland, ME",2011,"MB",7792203,1242214,87170,1606398,2062963,14.25048,1.284217,0.2647471
"5682","38860","Portland-South Portland, ME",2012,"CR",30172122,1910892,53508,528282,7416871,35.71227,14.03961,0.2458187
"5683","38860","Portland-South Portland, ME",2012,"DR",10885367,1748395,135330,594256,1726990,12.91949,2.906138,0.1586524
"5684","38860","Portland-South Portland, ME",2012,"FB",9725316,73053,15406,939674,2295805,4.741854,2.443193,0.2360648
"5685","38860","Portland-South Portland, ME",2012,"MB",15594628,1474643,101746,1878728,2415973,14.49338,1.285962,0.1549234
"5686","38860","Portland-South Portland, ME",2013,"CR",29288102,2027240,66880,556347,8117252,30.3116,14.59027,0.2771519
"5687","38860","Portland-South Portland, ME",2013,"DR",16038238,1325517,121048,427807,1803473,10.95034,4.215623,0.1124483
"5688","38860","Portland-South Portland, ME",2013,"FB",9967210,71858,15287,946184,2306271,4.700595,2.437445,0.2313858
"5689","38860","Portland-South Portland, ME",2013,"MB",19360804,1338977,103781,1854688,2512846,12.90195,1.354862,0.1297904
"5690","38860","Portland-South Portland, ME",2014,"CR",35799288,458646,15428,536524,8623681,29.72816,16.07324,0.2408897
