ntdid,year,mode,revenue_miles,revenue_hours,upt
5033,2006,MB,3911464,294883,7048057
5033,2006,VP,43966,1706,2721
5034,2006,DR,712344,40572,116043
5034,2006,MB,336643,24397,559435
5035,2006,DR,499986,59123,102151
5035,2006,MB,1546154,118347,2782397
5035,2006,VP,24531,4014,12178
5036,2006,DR,2460082,162204,456210
5036,2006,MB,2968101,230175,9572798
5037,2006,DR,121243,8415,14758
5037,2006,MB,432497,32568,478873
5038,2006,DR,202924,16738,95112
5039,2006,DR,201012,15892,25901
5039,2006,MB,681292,53748,687694
5040,2006,DR,1407348,114648,188442
5040,2006,MB,2403730,182730,5338018
5041,2006,DR,139948,11239,29243
5041,2006,MB,261942,21678,159850
5042,2006,DR,22295,1458,6489
5042,2006,MB,188468,7938,189835
5043,2006,DR,239856,18601,NA
5043,2006,MB,1037860,85507,NA
5044,2006,DR,264239,17714,48736
5044,2006,MB,1480630,110709,1886851
5045,2006,DR,47e3,2272,7185
5045,2006,MB,853900,67357,764035
5047,2006,DR,99231,8118,18494
5047,2006,MB,1011084,74593,1545326
5048,2006,DR,802280,66084,101339
5050,2006,DR,2982315,182946,339570
5050,2006,MB,5953110,431897,9694417
5051,2006,DR,71136,6554,19879
5051,2006,MB,1404946,120998,4326202
5052,2006,DR,191737,14236,34848
5052,2006,MB,1699981,118987,3393888
5053,2006,DR,90100,11218,21353
5053,2006,MB,261299,25104,163195
5054,2006,DR,319291,27018,84640
5054,2006,MB,893747,65786,2048491
5056,2006,DR,651223,51109,124634
5056,2006,MB,1699223,124853,2507461
5057,2006,DR,106151,7621,14926
5057,2006,MB,2025204,149055,2382623
5058,2006,DR,413601,30374,99429
5058,2006,MB,1254460,91942,1396425
5059,2006,DR,284326,22648,51686
5059,2006,MB,1194933,94725,1366498
5060,2006,DR,301496,30724,128595
5060,2006,MB,2493850,214034,9817486
5061,2006,DR,173760,12777,34546
5061,2006,MB,918533,66832,1098402
5066,2006,DR,6699385,600335,1126599
5066,2006,HR,12011640,659088,195169310
5066,2006,MB,66240047,6723365,298433228
5088,2006,DR,120693,8835,34182
5088,2006,MB,662905,46828,551267
5090,2006,DR,101847,12653,37970
5090,2006,MB,225226,18685,281966
5091,2006,DR,195862,13046,24855
5091,2006,MB,588475,41100,857415
5092,2006,DR,170856,11950,37493
5092,2006,MB,917941,59975,1427340
5095,2006,DR,421463,30932,59081
5095,2006,MB,1171819,60808,794478
5096,2006,DR,169499,14809,32751
5096,2006,MB,1402072,89021,1322755
5099,2006,DR,688664,42896,74040
5099,2006,MB,685428,45657,1193721
5102,2006,DR,16438,1291,6230
5102,2006,MB,450537,27867,431755
5103,2006,DR,40930,4208,11702
5104,2006,CR,778528,21063,4208190
5108,2006,DR,19654,1731,4983
5108,2006,MB,455590,29115,531811
5109,2006,DR,14097,863,3155
5109,2006,MB,328384,20981,304119
5110,2006,DR,227062,19713,37731
5110,2006,MB,891972,79679,2363526
5113,2006,DR,17323737,1266774,2693657
5113,2006,MB,20469395,1460367,33691072
5113,2006,VP,8773161,311500,1718366
5117,2006,DR,2344140,130355,346551
5117,2006,MB,829455,46878,634184
5118,2006,CR,6672074,222230,72064297
5119,2006,DR,1532229,127944,198196
5119,2006,MB,14949745,1162166,37083344
5131,2006,DR,293098,25942,112134
5132,2006,DR,364386,28370,178432
5132,2006,MB,53294,3864,17132
5133,2006,DR,173969,15560,65996
5138,2006,DR,830701,57939,196002
5141,2006,AG,608222,52434,2307909
5143,2006,MB,130213,7390,25531
5145,2006,DR,692022,67389,157511
5146,2006,DR,1174263,75481,185916
5146,2006,MB,3099087,167371,2063507
5146,2006,VP,2396839,56434,364896
5147,2006,DR,442525,33838,112547
5147,2006,MB,275870,20318,92090
5148,2006,DR,1583848,106302,439052
5148,2006,MB,375248,28115,495069
5149,2006,DR,330274,20700,130704
5149,2006,MB,429756,27017,165409
5154,2006,DR,2331682,157985,529465
5154,2006,MB,6694334,383690,9896878
5154,2006,VP,1004455,23806,157523
5155,2006,DR,9779529,623190,1222821
5157,2006,DR,59626,4243,8377
5158,2006,MB,956788,100291,5682304
5159,2006,DR,62150,5764,12602
5159,2006,MB,538787,37337,337714
5160,2006,DR,912636,39668,75868
5160,2006,MB,257607,11484,94221
5161,2006,DR,661111,34107,71805
5161,2006,MB,221272,7914,115491
5163,2006,DR,427628,18681,42696
5164,2006,DR,381445,25827,102802
5165,2006,DR,727648,37919,119900
5166,2006,DR,865551,44252,82647
5167,2006,DR,84260,6314,14111
5168,2006,DR,332562,17174,45112
5169,2006,DR,536751,29534,70441
5171,2006,DR,236022,20121,58503
5171,2006,MB,146492,11416,129282
5174,2006,DR,22109,1411,7134
5174,2006,MB,330963,21426,401714
5176,2006,DR,536712,34584,123552
6001,2006,DR,218423,17497,30935
6001,2006,MB,711893,42689,387298
6006,2006,DR,2061648,131663,286256
6006,2006,MB,6626254,515990,12133246
6007,2006,CR,177493,7319,952199
6007,2006,DR,3237564,178353,339167
6007,2006,MB,4063813,346870,6308471
6008,2006,DR,13415181,748714,1486488
6008,2006,LR,794587,57658,11333097
6008,2006,MB,39819040,2753852,88031836
6008,2006,VP,6911624,179874,1626153
6009,2006,DR,272481,29693,54307
6009,2006,MB,1766513,165859,4176073
6010,2006,DR,472716,36902,82406
6010,2006,MB,1541253,104190,3349145
6011,2006,DR,8400084,425954,1068612
6011,2006,MB,18139660,1339626,41592568
